filename,x,y,frame_num,camera
take_1_L_2 32.jpg,553.977294921875,142.61363220214844,32,L
take_1_L_2 33.jpg,506.0,151.25,33,L
take_1_L_2 34.jpg,453.0286560058594,174.7487030029297,34,L
take_1_L_2 35.jpg,435.5,188.5,35,L
take_1_L_2 36.jpg,422.0,200.5,36,L
take_1_R_2 32.jpg,158.0,117.5,32,R
take_1_R_2 33.jpg,188.5,130.0,33,R
take_1_R_2 34.jpg,228.29244995117188,160.29244995117188,34,R
take_1_R_2 35.jpg,238.65383911132812,175.65383911132812,35,R
take_1_R_2 36.jpg,246.36651611328125,188.56346130371094,36,R
